step,epoch,train_loss,train_ppl,val_loss,val_ppl
1400,0,3.5942,36.39,3.7151,41.06
1600,0,3.8142,45.34,3.6818,39.72
1800,0,4.2317,68.84,3.6479,38.39
2000,0,3.7989,44.65,3.6167,37.22
2200,0,3.5481,34.75,3.5957,36.44
2400,0,3.7571,42.82,3.5702,35.52
2600,0,4.3634,78.53,3.5497,34.80
2800,0,3.4957,32.97,3.5273,34.03
3000,0,3.4662,32.02,3.5112,33.49
3200,0,3.9948,54.32,3.4905,32.80
3400,1,3.8167,45.45,3.4729,32.23
3600,1,3.4401,31.19,3.4597,31.81
3800,1,3.6591,38.83,3.4440,31.31
4000,1,3.3009,27.14,3.4320,30.94
4200,1,3.3563,28.68,3.4186,30.53
4400,1,3.3823,29.44,3.4044,30.10
4600,1,3.1893,24.27,3.3909,29.69
4800,1,3.6154,37.17,3.3784,29.32
5000,1,3.9028,49.54,3.3689,29.05
5200,1,3.4682,32.08,3.3597,28.78
5400,1,3.4489,31.47,3.3488,28.47
5600,2,3.2632,26.13,3.3379,28.16
5800,2,3.2318,25.32,3.3316,27.98
6000,2,2.9142,18.43,3.3219,27.71
6200,2,3.4189,30.54,3.3159,27.55
6400,2,3.5833,35.99,3.3086,27.35
6600,2,3.3938,29.78,3.3006,27.13
6800,2,3.5749,35.69,3.2943,26.96
7000,2,4.0695,58.53,3.2906,26.86
7200,2,3.4419,31.25,3.2849,26.71
7400,2,3.1316,22.91,3.2792,26.55
7600,3,2.9513,19.13,3.2748,26.44
7800,3,3.2937,26.94,3.2708,26.33
8000,3,3.1128,22.48,3.2672,26.24
8200,3,3.2942,26.95,3.2639,26.15
8400,3,3.5675,35.43,3.2614,26.08
8600,3,3.4987,33.07,3.2598,26.04
8800,3,2.9291,18.71,3.2579,25.99
9000,3,3.0934,22.05,3.2559,25.94
9200,3,4.0275,56.12,3.2539,25.89
9400,3,3.4861,32.66,3.2530,25.87
9600,3,3.5195,33.77,3.2524,25.85
9800,4,3.5209,33.81,3.2513,25.82
10000,4,3.8771,48.28,3.2513,25.82
10200,4,3.3481,28.45,3.2518,25.84
10400,4,3.2498,25.79,3.2516,25.83
10600,4,3.6832,39.77,3.2514,25.83